DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BOL: Bolivia (Plurinational State of),SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,66.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BWA: Botswana,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,4.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRA: Brazil,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,67.7,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGR: Bulgaria,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,48.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CPV: Cabo Verde,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,37.9,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KHM: Cambodia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,4.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,1.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAN: Canada,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,39.7,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,0.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,68.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHN: China,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COL: Colombia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,36,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COK: Cook Islands,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,38.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,0.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CYP: Cyprus,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,60.3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2016,1.3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DNK: Denmark,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DJI: Djibouti,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2019,3.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,62.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,14.19,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EECA: Eastern Europe and Central Asia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,80.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,18.7,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,8.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,8.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ERI: Eritrea,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,0.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,4.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ECA: Europe and Central Asia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,90.75,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,2.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GEO: Georgia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,48.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DEU: Germany,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GHA: Ghana,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,25.9,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GTM: Guatemala,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,2.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HTI: Haiti,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,4.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HND: Honduras,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,19.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HUN: Hungary,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IND: India,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,24.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI). Based on information from federal programmes only.,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IDN: Indonesia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,25.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRN: Iran (Islamic Republic of),SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,16.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRL: Ireland,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JAM: Jamaica,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,27,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JPN: Japan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,85.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JOR: Jordan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,8.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KAZ: Kazakhstan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,57.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KEN: Kenya,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2019,3.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KIR: Kiribati,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,1.3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KGZ: Kyrgyzstan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,16.9,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,44.56,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LVA: Latvia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNSDG_LDC: Least developed countries,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2021,11.62,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LSO: Lesotho,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2016,10.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBR: Liberia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,5.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LIE: Liechtenstein,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LUX: Luxembourg,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,9.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,2.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDV: Maldives,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,8.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,5.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MEX: Mexico,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,23.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FSM: Micronesia (Federated States of),SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,6.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,85,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MOZ: Mozambique,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,0.3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MMR: Myanmar,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,2.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NAM: Namibia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,22.8,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,22.9,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NLD: Netherlands,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NZL: New Zealand,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,67.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NIC: Nicaragua,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,3.1,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2016,4.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2019,12,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI). Based on information from federal programmes only.,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NOR: Norway,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAK: Pakistan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,5.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PLW: Palau,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2019,60,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAN: Panama,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,21.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRY: Paraguay,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,18.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
