ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
11,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),112,Belarus,5,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,0,,0,,C: Country data
12,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),84,Belize,4,13,Central America,Country,-88.70199554,17.19965901,BLZ,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,6.3,,,,,6.3,,C: Country data
13,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),204,Benin,4,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,9.4,,,9.4,,C: Country data
14,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),64,Bhutan,5,127,Southern Asia (excluding India),Country,90.45098484,27.39598568,BTN,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2010,2010,[2010],,,,,,,,,,,6.2,,,,,,,,,,,6.2,,C: Country data
15,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),64,Bhutan,5,127,Southern Asia (excluding India),Country,90.45098484,27.39598568,BTN,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2010,2010,[2010],,,,,,,,,,,6.2,,,,,,,,,,,6.2,,C: Country data
16,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,3.4,,,,,3.4,,C: Country data
17,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2012,2012,[2012],,,,,,,,,,,,,0.2,,,,,,,,,0.2,,C: Country data
18,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),76,Brazil,4,5,South America,Country,-53.08432878,-10.77668561,BRA,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2006,2006,[2006],,,,,,,5.9,,,,,,,,,,,,,,,5.9,,C: Country data
19,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),854,Burkina Faso,4,11,Western Africa,Country,-1.742843829,12.27491081,BFA,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2010,2010,[2010],,,,,,,,,,,10.2,,,,,,,,,,,10.2,,C: Country data
20,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),108,Burundi,4,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,2.8,,,,2.8,,C: Country data
21,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),132,Cabo Verde,4,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2005,2005,[2005],,,,,,2.8,,,,,,,,,,,,,,,,2.8,,C: Country data
22,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2014,2014,[2014],,,,,,,,,,,,,,,1.9,,,,,,,1.9,,C: Country data
23,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),120,Cameroon,4,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,10.7,,,10.7,,C: Country data
24,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),140,Central African Republic,4,17,Middle Africa,Country,20.93559492,7.003720791,CAF,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,25.8,,25.8,,C: Country data
25,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),148,Chad,4,17,Middle Africa,Country,18.66618401,15.36279341,TCD,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,24.2,,24.2,,C: Country data
26,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),170,Colombia,4,5,South America,Country,-73.07446751,3.888209046,COL,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2015,2015,[2015],,,,,,,,,,,,,,,,4.9,,,,,,4.9,,C: Country data
27,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),174,Comoros,4,14,Eastern Africa,Country,43.34234565,-11.66121732,COM,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2012,2012,[2012],,,,,,,,,,,,,10,,,,,,,,,10,,C: Country data
28,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),178,Congo,4,17,Middle Africa,Country,15.22052612,-0.840544119,COG,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2015,2015,[2015],,,,,,,,,,,,,,,,6.9,,,,,,6.9,,C: Country data
29,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),188,Costa Rica,4,13,Central America,Country,-84.19712782,9.970998683,CRI,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,2,,,2,,C: Country data
30,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),384,Côte d'Ivoire,4,11,Western Africa,Country,-5.552690016,7.62211586,CIV,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,7,,,,,7,,C: Country data
31,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),192,Cuba,4,29,Caribbean,Country,-79.54460144,22.10030366,CUB,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,4.8,,4.8,,C: Country data
32,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),408,Democratic People's Republic of Korea,4,30,Eastern Asia,Country,127.1803633,40.1462645,PRK,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,0,,,0,,C: Country data
33,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),180,Democratic Republic of the Congo,4,17,Middle Africa,Country,23.65496507,-2.877154732,COD,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,8.4,,,8.4,,C: Country data
34,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),262,Djibouti,4,14,Eastern Africa,Country,42.18274707,11.56004161,DJI,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2012,2012,[2012],,,,,,,,,,,,,1.3,,,,,,,,,1.3,,C: Country data
35,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),214,Dominican Republic,4,29,Caribbean,Country,-70.49847576,18.89832088,DOM,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2014,2014,[2014],,,,,,,,,,,,,,,12.3,,,,,,,12.3,,C: Country data
36,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),218,Ecuador,4,5,South America,Country,-78.37005241,-1.447785891,ECU,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,3.8,,,3.8,,C: Country data
37,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),818,Egypt,4,15,Northern Africa,Country,29.77468534,26.57438204,EGY,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2014,2014,[2014],,,,,,,,,,,,,,,2,,,,,,,2,,C: Country data
